Event,Hit,BarID.0,t0,x0,y0,z0,q0,BarID.1,t1,x1,y1,z1,q1,signal,target
190,0,88,4.759e+01,-9.967e-02,2.833e-02,6.061e+00,1.553e+01,264,8.040e+01,-2.257e-01,2.686e-02,1.041e+01,6.195e+01,1,0
192,0,71,4.598e+01,-2.686e-02,-7.421e-02,5.957e+00,6.403e+00,267,6.309e+01,-1.087e-01,3.221e-01,8.122e+00,5.678e+00,1,0
197,0,72,4.593e+01,2.560e-04,2.833e-02,5.957e+00,4.601e+01,266,8.579e+01,2.498e-02,2.319e-01,1.099e+01,6.058e+01,1,0
198,0,71,4.714e+01,2.264e-02,-7.421e-02,5.957e+00,4.581e+01,104,4.813e+01,-5.270e-03,2.833e-02,6.165e+00,4.237e+01,1,0
199,0,71,4.800e+01,1.451e-01,-7.421e-02,5.957e+00,2.762e+01,261,7.060e+01,8.832e-02,-1.906e-01,8.835e+00,4.951e+01,1,0
201,0,103,4.748e+01,1.102e-01,-7.421e-02,6.165e+00,5.530e+00,103,4.854e+01,5.615e-02,-7.421e-02,6.165e+00,4.851e+01,1,0
203,0,102,4.847e+01,9.855e-02,-1.768e-01,6.165e+00,9.500e+00,263,8.620e+01,1.801e-01,-7.568e-02,1.099e+01,7.690e+01,1,0
204,0,72,4.538e+01,-1.409e-01,2.833e-02,5.957e+00,1.553e+01,264,6.408e+01,-1.445e-01,1.452e-02,8.122e+00,1.252e+00,1,0
211,0,72,4.809e+01,-4.212e-02,2.833e-02,5.957e+00,5.174e+01,262,9.100e+01,1.949e-01,-1.782e-01,1.109e+01,4.568e+01,1,0
214,0,70,4.796e+01,-1.042e-01,-1.768e-01,5.957e+00,7.298e+01,70,4.840e+01,-6.601e-02,-1.768e-01,5.957e+00,9.155e+00,1,0
218,0,121,5.564e+01,-4.206e-02,1.309e-01,6.669e+00,3.541e+01,267,9.941e+01,-1.448e-01,3.345e-01,1.163e+01,2.582e+01,1,0
219,0,117,6.224e+01,-2.613e-01,-2.793e-01,6.669e+00,2.075e+00,261,6.881e+01,1.375e-02,-1.906e-01,8.835e+00,2.476e+01,1,0
221,0,105,4.700e+01,-1.691e-03,1.309e-01,6.165e+00,8.263e+01,256,9.051e+01,-9.323e-02,-6.909e-01,1.153e+01,2.397e+01,1,0
226,0,71,4.789e+01,-2.808e-02,-7.421e-02,5.957e+00,3.671e+00,263,7.076e+01,-1.303e-01,-8.802e-02,8.835e+00,4.398e+01,1,0
228,0,264,6.381e+01,-1.247e-01,1.452e-02,8.122e+00,3.951e+01,264,6.458e+01,-1.706e-01,1.452e-02,8.226e+00,2.899e+00,0,0
229,0,88,4.633e+01,-4.882e-03,2.833e-02,6.061e+00,2.019e+01,102,5.066e+01,3.483e-01,-1.767e-01,6.165e+00,1.174e+01,1,0
231,0,120,5.388e+01,-7.432e-02,2.833e-02,6.669e+00,6.625e+01,263,6.486e+01,-8.246e-02,-8.802e-02,8.122e+00,2.246e+01,1,0
232,0,71,4.577e+01,-5.231e-02,-7.421e-02,5.957e+00,2.974e+00,103,4.915e+01,-2.460e-02,-7.421e-02,6.165e+00,1.278e+00,0,0
236,0,104,4.831e+01,-2.000e-01,2.833e-02,6.165e+00,3.333e+01,263,7.210e+01,-3.057e-01,-8.802e-02,8.835e+00,2.978e+00,1,0
242,0,121,5.845e+01,7.933e-01,1.309e-01,6.669e+00,1.025e+01,267,6.383e+01,-7.263e-01,3.221e-01,8.226e+00,1.354e+01,1,0
247,0,72,4.807e+01,5.473e-02,2.833e-02,5.957e+00,5.815e+01,104,4.988e+01,3.801e-02,2.833e-02,6.165e+00,5.669e+01,1,0
248,0,87,4.647e+01,-2.776e-02,-7.421e-02,6.061e+00,6.041e+01,265,7.595e+01,-3.642e-01,1.171e-01,8.226e+00,2.103e+01,1,0
253,0,70,4.852e+01,2.616e-02,-1.767e-01,5.957e+00,1.060e+01,71,4.921e+01,5.787e-02,-7.421e-02,5.957e+00,4.196e+00,0,0
258,0,88,4.876e+01,-6.083e-02,2.833e-02,6.061e+00,4.700e+01,103,5.320e+01,-1.346e-01,-7.421e-02,6.165e+00,1.965e+00,0,0
259,0,87,4.795e+01,4.601e-03,-7.421e-02,6.061e+00,7.369e+01,136,5.388e+01,1.251e-01,2.833e-02,6.773e+00,6.372e+01,1,0
260,0,72,4.555e+01,1.622e-02,2.833e-02,5.957e+00,3.266e+00,119,5.107e+01,4.727e-02,-7.421e-02,6.669e+00,6.285e+01,1,0
270,0,72,4.648e+01,-2.753e-02,2.833e-02,5.957e+00,1.785e+01,71,5.143e+01,2.990e-01,-7.421e-02,5.957e+00,1.110e+00,0,0
271,0,106,5.195e+01,1.423e-01,2.334e-01,6.165e+00,3.461e+01,263,7.182e+01,8.861e-02,-8.802e-02,8.939e+00,7.276e+01,1,0
275,0,137,5.498e+01,-1.926e-02,1.309e-01,6.773e+00,8.078e+00,266,8.666e+01,7.591e-01,2.319e-01,1.061e+01,3.955e+01,1,0
278,0,115,5.860e+01,-3.304e-01,-4.844e-01,6.669e+00,1.654e+01,256,8.972e+01,9.413e-01,-6.909e-01,1.109e+01,5.246e+00,1,0
279,0,71,4.720e+01,9.351e-02,-7.421e-02,5.957e+00,3.258e+01,87,4.819e+01,9.836e-02,-7.421e-02,6.061e+00,3.943e+01,0,0
283,0,73,4.649e+01,-2.972e-02,1.309e-01,5.957e+00,5.916e+01,105,4.772e+01,5.745e-03,1.309e-01,6.165e+00,5.874e+01,1,0
285,0,88,4.890e+01,3.504e-02,2.833e-02,6.061e+00,1.494e+01,89,4.895e+01,5.442e-02,1.309e-01,6.061e+00,2.551e+01,0,0
292,0,73,4.829e+01,2.428e-02,1.309e-01,5.957e+00,8.317e+00,72,4.870e+01,2.345e-02,2.833e-02,5.957e+00,2.699e+01,0,0
293,0,103,4.921e+01,-1.042e-01,-7.421e-02,6.165e+00,1.264e+01,264,6.927e+01,-3.276e-02,1.452e-02,8.226e+00,1.231e+00,1,0
294,0,73,4.919e+01,-3.964e-02,1.309e-01,5.957e+00,2.763e+01,259,6.968e+01,-4.400e-01,-3.956e-01,8.122e+00,1.781e+01,1,0
295,0,103,4.817e+01,5.791e-02,-7.421e-02,6.165e+00,2.853e+01,117,5.284e+01,1.579e-01,-2.793e-01,6.669e+00,3.815e+01,0,0
297,0,71,4.596e+01,1.015e-01,-7.421e-02,5.957e+00,3.571e+01,88,4.727e+01,9.107e-02,2.833e-02,6.061e+00,1.133e+00,0,0
300,0,264,7.027e+01,2.962e-02,1.452e-02,8.939e+00,4.562e+01,270,9.110e+01,-6.894e-01,6.421e-01,1.153e+01,5.977e+01,1,0
